year,countryname,countrycode,math_score,reading_score,science_score
2022,Australia,AUS,487,498,507
2022,Austria,AUT,487,480,491
2022,Belgium,BEL,489,479,491
2022,Canada,CAN,497,507,515
2022,Chile,CHL,412,448,444
2022,Colombia,COL,383,409,411
2022,Costa Rica,CRI,385,415,411
2022,Czech Republic,CZE,487,489,498
2022,Denmark,DNK,489,489,494
2022,Estonia,EST,510,511,526
2022,Finland,FIN,484,490,511
2022,France,FRA,474,474,487
2022,Germany,DEU,475,480,492
2022,Greece,GRC,430,438,441
2022,Hungary,HUN,473,473,486
2022,Iceland,ISL,459,436,447
2022,Ireland,IRL,492,516,504
2022,Israel,ISR,458,474,465
2022,Italy,ITA,471,482,477
2022,Japan,JPN,536,516,547
2022,Korea,KOR,527,515,528
2022,Latvia,LVA,483,475,494
2022,Lithuania,LTU,475,472,484
2022,Luxembourg,LUX,—,—,—
2022,Mexico,MEX,395,415,410
2022,Netherlands,NLD,493,459,488
2022,New Zealand,NLD,479,501,504
2022,Norway,NOR,468,477,478
2022,Poland,POL,489,489,499
2022,Portugal,PRT,472,477,484
2022,Slovak Republic,SVK,464,447,462
2022,Slovenia,SVN,485,469,500
2022,Spain,ESP,473,474,485
2022,Sweden,SWE,482,487,494
2022,Switzerland,CHE,508,483,503
2022,Türkiye,TUR,453,456,476
2022,United Kingdom,GBR,489,494,500
2022,United States,USA,465,504,499
2022,Albania,ALB,368,358,376
2022,Algeria,DZA,—,—,—
2022,Argentina,ARG,378,401,406
2022,Baku (Azerbaijan),AZE,397,365,380
2022,Belarus,BEL,—,—,—
2022,Bosnia and Herzegovina,BIH,—,—,—
2022,Brazil,BRA,379,410,403
2022,Brunei Darussalam,BRN,442,429,446
2022,Bulgaria,BGR,417,404,421
2022,Cambodia,KHM,336,329,347
2022,Chinese Taipei,TAP,547,515,537
2022,Croatia,HRV,463,475,483
2022,Cyprus,CYP,418,381,411
2022,Dominican Republic,DOM,339,351,360
2022,El Salvador,SLV,343,365,373
2022,Georgia,GEO,390,374,384
2022,Guatemala,GTM,344,374,373
2022,Hong Kong (China),HKG,540,500,520
2022,Indonesia,IDN,366,359,383
2022,Jamaica,JAM,377,410,403
2022,Jordan,JOR,361,342,375
2022,Kazakhstan,KAZ,425,386,423
2022,Kosovo,XKX,355,342,357
2022,Macao (China),LBN,552,510,543
2022,Malaysia,MYS,409,388,416
2022,Malta,MLT,466,445,466
2022,Moldova,MDA,414,411,417
2022,Mongolia,MNG,425,378,412
2022,Montenegro,MNE,406,405,403
2022,Morocco,MAR,365,339,365
2022,North Macedonia,MKD,389,359,380
2022,Palestinian Authority,PSE,366,349,369
2022,Panama,PAN,357,392,388
2022,Paraguay,PRY,338,373,368
2022,Peru,PER,391,408,408
2022,Philippines,PHL,355,347,356
2022,Qatar,QAT,414,419,432
2022,Romania,ROU,428,428,428
2022,Saudi Arabia,SAU,389,383,390
2022,Serbia,SRB,440,440,447
2022,Singapore,SGP,575,543,561
2022,Thailand,THA,394,379,409
2022,Ukraine (18 of 27 Regions),UKR,441,428,450
2022,United Arab Emirates,ARE,431,417,432
2022,Uruguay,URY,409,430,435
2022,Uzbekistan,UZB,364,336,355
2022,Viet Nam,VNM,469,462,472
2018,Australia,AUS,491,503,503
2018,Austria,AUT,499,484,490
2018,Belgium,BEL,508,493,499
2018,Canada,CAN,512,520,518
2018,Chile,CHL,417,452,444
2018,Colombia,COL,391,412,413
2018,Costa Rica,CRI,402,426,416
2018,Czech Republic,CZE,499,490,497
2018,Denmark,DNK,509,501,493
2018,Estonia,EST,523,523,530
2018,Finland,FIN,507,520,522
2018,France,FRA,495,493,493
2018,Germany,DEU,500,498,503
2018,Greece,GRC,451,457,452
2018,Hungary,HUN,481,476,481
2018,Iceland,ISL,495,474,475
2018,Ireland,IRL,500,518,496
2018,Israel,ISR,463,470,462
2018,Italy,ITA,487,476,468
2018,Japan,JPN,527,504,529
2018,Korea,KOR,526,514,519
2018,Latvia,LVA,496,479,487
2018,Lithuania,LTU,481,476,482
2018,Luxembourg,LUX,483,470,477
2018,Mexico,MEX,409,420,419
2018,Netherlands,NLD,519,485,503
2018,New Zealand,NZL,494,506,508
2018,Norway,NOR,501,499,490
2018,Poland,POL,516,512,511
2018,Portugal,PRT,492,492,492
2018,Slovak Republic,SVK,486,458,464
2018,Slovenia,SVN,509,495,507
2018,Spain,ESP,481,—,483
2018,Sweden,SWE,502,506,499
2018,Switzerland,CHE,515,484,495
2018,Türkiye,TUR,454,466,468
2018,United Kingdom,GBR,502,504,505
2018,United States,USA,478,505,502
2018,Albania,ALB,437,405,417
2018,Argentina,ARG,379,402,404
2018,Baku (Azerbaijan),AZE,420,389,398
2018,Belarus,BEL,472,474,471
2018,Bosnia and Herzegovina,BIH,406,403,398
2018,Brazil,BRA,384,413,404
2018,Brunei Darussalam,BRN,430,408,431
2018,B-S-J-Z (China),CHN,591,555,590
2018,Bulgaria,BGR,436,420,424
2018,Chinese Taipei,TAP,531,503,516
2018,Croatia,HRV,464,479,472
2018,Cyprus,CYP,451,424,439
2018,Dominican Republic,DOM,325,342,336
2018,Georgia,GEO,398,380,383
2018,Hong Kong (China),HKG,551,524,517
2018,Indonesia,IDN,379,371,396
2018,Jordan,JOR,400,419,429
2018,Kazakhstan,KAZ,423,387,397
2018,Kosovo,XKX,366,353,365
2018,Lebanon,LBN,393,353,384
2018,Macao (China),MAC,558,525,544
2018,Malaysia,MYS,440,415,438
2018,Malta,MLT,472,448,457
2018,Moldova,MDA,421,424,428
2018,Montenegro,MNE,430,421,415
2018,Morocco,MAR,368,359,377
2018,North Macedonia,MKD,394,393,413
2018,Panama,PAN,353,377,365
2018,Peru,PER,400,401,404
2018,Philippines,PHL,353,340,357
2018,Qatar,QAT,414,407,419
2018,Romania,ROU,430,428,426
2018,Russia,RUS,488,479,478
2018,Saudi Arabia,SAU,373,399,386
2018,Serbia,SRB,448,439,440
2018,Singapore,SGP,569,549,551
2018,Thailand,THA,419,393,426
2018,Ukraine,UKR,453,466,469
2018,United Arab Emirates,ARE,435,432,434
2018,Uruguay,URY,418,427,426
2015,Australia,AUS,494,503,510
2015,Austria,AUT,497,485,495
2015,Belgium,BEL,507,499,502
2015,Canada,CAN,516,527,528
2015,Chile,CHL,423,459,447
2015,Colombia,COL,390,425,416
2015,Costa Rica,CRI,400,427,420
2015,Czech Republic,CZE,492,487,493
2015,Denmark,DNK,511,500,502
2015,Estonia,EST,520,519,534
2015,Finland,FIN,511,526,531
2015,France,FRA,493,499,495
2015,Germany,DEU,506,509,509
2015,Greece,GRC,454,467,455
2015,Hungary,HUN,477,470,477
2015,Iceland,ICL,488,482,473
2015,Ireland,IRL,504,521,503
2015,Israel,ISR,470,479,467
2015,Italy,ITA,490,485,481
2015,Japan,JPN,532,516,538
2015,Korea,KOR,524,517,516
2015,Latvia,LVA,482,488,490
2015,Lithuania,LTU,478,472,475
2015,Luxembourg,LUX,486,481,483
2015,Mexico,MEX,408,423,416
2015,Netherlands,NLD,512,503,509
2015,New Zealand,NZL,495,509,513
2015,Norway,NOR,502,513,498
2015,Poland,POL,504,506,501
2015,Portugal,PRT,492,498,501
2015,Slovak Republic,SVK,475,453,461
2015,Slovenia,SVN,510,505,513
2015,Spain,ESP,486,496,493
2015,Sweden,SWE,494,500,493
2015,Switzerland,CHE,521,492,506
2015,Türkiye,TUR,420,428,425
2015,United Kingdom,GBR,492,498,509
2015,United States,USA,470,497,496
2015,Albania (2015),ALB,413,405,427
2015,Algeria,DZA,360,350,376
2015,Argentina (2015),ARG,409,425,432
2015,Brazil,BRA,377,407,401
2015,B-S-J-G (China),CHN,531,494,518
2015,Bulgaria,BGR,441,432,446
2015,Chinese Taipei,TAP,542,497,532
2015,Croatia,HRV,464,487,475
2015,Cyprus,CYP,437,443,433
2015,Dominican Republic,DOM,328,358,332
2015,Georgia,GEO,404,401,411
2015,Hong Kong (China),HKG,548,527,523
2015,Indonesia,IDN,386,397,403
2015,Jordan,JOR,380,408,409
2015,Kazakhstan (2015),KAZ,460,427,456
2015,Kosovo,XKX,362,347,378
2015,Lebanon,LBN,396,347,386
2015,Macao (China),MAC,544,509,529
2015,Malaysia (2015),MYS,446,431,443
2015,Malta,MLT,479,447,465
2015,Moldova,MDA,420,416,428
2015,Montenegro,MNE,418,427,411
2015,North Macedonia,MKD,371,352,384
2015,Peru,PER,387,398,397
2015,Qatar,QAT,402,402,418
2015,Romania,ROU,444,434,435
2015,Russia,RUS,494,495,487
2015,Singapore,SGP,564,535,556
2015,Thailand,THA,415,409,421
2015,Trinidad and Tobago,TGO,417,427,425
2015,Tunisia,TUN,367,361,386
2015,United Arab Emirates,ARE,427,434,437
2015,Uruguay,URY,418,437,435
2015,Viet Nam,VNM,495,487,525
2012,Australia,AUS,504,512,521
2012,Austria,AUT,506,490,506
2012,Belgium,BEL,515,509,505
2012,Canada,CAN,518,523,525
2012,Chile,CHL,423,441,445
2012,Colombia,COL,376,403,399
2012,Costa Rica,CRI,407,441,429
2012,Czech Republic,CZE,499,493,508
2012,Denmark,DNK,500,496,498
2012,Estonia,EST,521,516,541
2012,Finland,FIN,519,524,545
2012,France,FRA,495,505,499
2012,Germany,DEU,514,508,524
2012,Greece,GRC,453,477,467
2012,Hungary,HUN,477,488,494
2012,Iceland,ISL,493,483,478
2012,Ireland,IRL,501,523,522
2012,Israel,ISR,466,486,470
2012,Italy,ITA,485,490,494
2012,Japan,JPN,536,538,547
2012,Korea,KOR,554,536,538
2012,Latvia,LVA,491,489,502
2012,Lithuania,LTU,479,477,496
2012,Luxembourg,LUX,490,488,491
2012,Mexico,MEX,413,424,415
2012,Netherlands,NLD,523,511,522
2012,New Zealand,NZL,500,512,516
2012,Norway,NOR,489,504,495
2012,Poland,POL,518,518,526
2012,Portugal,PRT,487,488,489
2012,Slovak Republic,SVK,482,463,471
2012,Slovenia,SVN,501,481,514
2012,Spain,ESP,484,488,496
2012,Sweden,SWE,478,483,485
2012,Switzerland,CHE,531,509,515
2012,Türkiye,TUR,448,475,463
2012,United Kingdom,GBR,494,499,514
2012,United States,USA,481,498,497
2012,Albania,ALB,394,394,397
2012,Argentina,ARG,388,396,406
2012,Brazil,BRA,389,407,402
2012,Bulgaria,BGR,439,436,446
2012,Chinese Taipei,TAP,560,523,523
2012,Croatia,HRV,471,485,491
2012,Cyprus,CYP,440,449,438
2012,Hong Kong (China),HKG,561,545,555
2012,Indonesia,IDN,375,396,382
2012,Jordan,JOR,386,399,409
2012,Kazakhstan,KAZ,432,393,425
2012,Macao (China),MAC,538,509,521
2012,Malaysia,MYS,421,398,420
2012,Montenegro,MNE,410,422,410
2012,Peru,PER,368,384,373
2012,Qatar,QAT,376,388,384
2012,Romania,ROU,445,438,439
2012,Russia,RUS,482,475,486
2012,Singapore,SGP,573,542,551
2012,Thailand,THA,427,441,444
2012,Tunisia,TUN,388,404,398
2012,United Arab Emirates,ARE,434,442,448
2012,Uruguay,URY,409,411,416
2012,Viet Nam,VNM,511,508,528
2009,Australia,AUS,514,515,527
2009,Austria,AUT,496,470,494
2009,Belgium,BEL,515,506,507
2009,Canada,CAN,527,524,529
2009,Chile,CHL,421,449,447
2009,Colombia,COL,381,413,402
2009,Czech Republic,CZE,493,478,500
2009,Denmark,DNK,503,495,499
2009,Estonia,EST,512,501,528
2009,Finland,FIN,541,536,554
2009,France,FRA,497,496,498
2009,Germany,DEU,513,497,520
2009,Greece,GRC,466,483,470
2009,Hungary,HUN,490,494,503
2009,Iceland,ISL,507,500,496
2009,Ireland,IRL,487,496,508
2009,Israel,ISR,447,474,455
2009,Italy,ITA,483,486,489
2009,Japan,JPN,529,520,539
2009,Korea,KOR,546,539,538
2009,Latvia,LVA,482,484,494
2009,Lithuania,LTU,477,468,491
2009,Luxembourg,LUX,489,472,484
2009,Mexico,MEX,419,425,416
2009,Netherlands,NLD,526,508,522
2009,New Zealand,NZL,519,521,532
2009,Norway,NOR,498,503,500
2009,Poland,POL,495,500,508
2009,Portugal,PRT,487,489,493
2009,Slovak Republic,SVK,497,477,490
2009,Slovenia,SVN,501,483,512
2009,Spain,ESP,483,481,488
2009,Sweden,SWE,494,497,495
2009,Switzerland,CHE,534,501,517
2009,Türkiye,TUR,445,464,454
2009,United Kingdom,GBR,492,494,514
2009,United States,USA,487,500,502
2009,Albania,ALB,377,385,391
2009,Argentina,ARG,388,398,401
2009,Brazil,BRA,386,412,405
2009,Bulgaria,BGR,428,429,439
2009,Chinese Taipei,TAP,543,495,520
2009,Croatia,HRV,460,476,486
2009,Hong Kong (China),HKG,555,533,549
2009,Indonesia,IDN,371,402,383
2009,Jordan,JOR,387,405,415
2009,Kazakhstan,KAZ,405,390,400
2009,Macao (China),MAC,525,487,511
2009,Montenegro,MNE,403,408,401
2009,Peru,PER,365,370,369
2009,Qatar,QAT,368,372,379
2009,Romania,ROU,427,424,428
2009,Russia,RUS,468,459,478
2009,Singapore,SGP,562,526,542
2009,Thailand,THA,419,421,425
2009,Trinidad and Tobago,TGO,414,416,410
2009,Tunisia,TUN,371,404,401
2009,Uruguay,URY,427,426,427
2006,Australia,AUS,520,513,527
2006,Austria,AUT,505,490,511
2006,Belgium,BEL,520,501,510
2006,Canada,CAN,527,527,534
2006,Chile,CHL,411,442,438
2006,Colombia,COL,370,385,388
2006,Czech Republic,CZE,510,483,513
2006,Denmark,DNK,513,494,496
2006,Estonia,EST,515,501,531
2006,Finland,FIN,548,547,563
2006,France,FRA,496,488,495
2006,Germany,DEU,504,495,516
2006,Greece,GRC,459,460,473
2006,Hungary,HUN,491,482,504
2006,Iceland,ISL,506,484,491
2006,Ireland,IRL,501,517,508
2006,Israel,ISR,442,439,454
2006,Italy,ITA,462,469,475
2006,Japan,JPN,523,498,531
2006,Korea,KOR,547,556,522
2006,Latvia,LVA,486,479,490
2006,Lithuania,LTU,486,470,488
2006,Luxembourg,LUX,490,479,486
2006,Mexico,MEX,406,410,410
2006,Netherlands,NLD,531,507,525
2006,New Zealand,NZL,522,521,530
2006,Norway,NOR,490,484,487
2006,Poland,POL,495,508,498
2006,Portugal,PRT,466,472,474
2006,Slovak Republic,SVK,492,466,488
2006,Slovenia,SVN,504,494,519
2006,Spain,ESP,480,461,488
2006,Sweden,SWE,502,507,503
2006,Switzerland,CHE,530,499,512
2006,Türkiye,TUR,424,447,424
2006,United Kingdom,GBR,495,495,515
2006,United States,USA,474,—,489
2006,Argentina,ARG,381,374,391
2006,Brazil,BRA,370,393,390
2006,Bulgaria,BGR,413,402,434
2006,Chinese Taipei,TAP,549,496,532
2006,Croatia,HRV,467,477,493
2006,Hong Kong (China),HKG,547,536,542
2006,Indonesia,IDN,391,393,393
2006,Jordan,JOR,384,401,422
2006,Macao (China),MAC,525,492,511
2006,Montenegro,MNE,399,392,412
2006,Qatar,QAT,318,312,349
2006,Romania,ROU,415,396,418
2006,Russia,RUS,476,440,479
2006,Thailand,THA,417,417,421
2006,Tunisia,TUN,365,380,386
2006,Uruguay,URY,427,413,428
2003,Australia,AUS,524,525,—
2003,Austria,AUT,506,491,—
